hgnc_id	approved_symbol	approved_name	status	previous_symbols	alias_symbols	accession_numbers	refseq_ids	alias_names	ensembl_gene_id	ncbi_gene_id
HGNC:19195	ABLIM2	actin binding LIM protein family member 2	Approved		KIAA1808	AB058711	NM_001130083		ENSG00000163995	84448
HGNC:29132	ABLIM3	actin binding LIM protein family member 3	Approved		KIAA0843	AB020650	NM_014945		ENSG00000173210	22885
HGNC:79	ABO	"ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase"	Approved		"A3GALNT, A3GALT1"	AF134415	NM_020469		ENSG00000175164	28
HGNC:81	ABR	ABR activator of RhoGEF and GTPase	Approved		MDB	L19704			ENSG00000159842	29
HGNC:55674	ABR-AS1	ABR antisense RNA 1	Approved						ENSG00000235361	105371479
HGNC:30655	ABRA	actin binding Rho activating protein	Approved		STARS	AF503617	NM_139166	striated muscle activator of Rho-dependent signaling	ENSG00000174429	137735
HGNC:21230	ABRACL	ABRA C-terminal like	Approved	C6orf115	"PRO2013, HSPC280, Costars"	BC014953	NM_021243		ENSG00000146386	58527
HGNC:25829	ABRAXAS1	"abraxas 1, BRCA1 A complex subunit"	Approved	"CCDC98, FAM175A"	"FLJ13614, ABRA1, ABRAXAS"	AK023676	NM_139076	Abraxas protein	ENSG00000163322	84142
HGNC:28975	ABRAXAS2	"abraxas 2, BRISC complex subunit"	Approved	"KIAA0157, FAM175B"	"Em:AC068896.4, ABRO1"	D63877	NM_032182	Abraxas brother	ENSG00000165660	23172
HGNC:17369	ABT1	activator of basal transcription 1	Approved		Esf2	AB027258			ENSG00000146109	29777
HGNC:39557	ABT1P1	activator of basal transcription 1 pseudogene 1	Approved				NG_025142		ENSG00000250496	100420695
HGNC:18275	ABTB1	ankyrin repeat and BTB domain containing 1	Approved		"BPOZ, EF1ABP, Btb3, BTBD21"	AB053324	NM_172027		ENSG00000114626	80325
HGNC:23842	ABTB2	ankyrin repeat and BTB domain containing 2	Approved		"DKFZP586C1619, BTBD22, ABTB2A"	AK056863	NM_145804		ENSG00000166016	25841
HGNC:82	ACAA1	acetyl-CoA acyltransferase 1	Approved			X14813	NM_001607	peroxisomal 3-oxoacyl-Coenzyme A thiolase	ENSG00000060971	30
HGNC:83	ACAA2	acetyl-CoA acyltransferase 2	Approved		DSAEC	D16294	NM_006111	mitochondrial 3-oxoacyl-Coenzyme A thiolase	ENSG00000167315	10449
HGNC:84	ACACA	acetyl-CoA carboxylase alpha	Approved	"ACAC, ACC"	ACC1	U19822	NM_198836	acetyl-CoA carboxylase 1	ENSG00000278540	31
HGNC:85	ACACB	acetyl-CoA carboxylase beta	Approved		"HACC275, ACC2, ACCB"	U89344	NM_001093	acetyl-CoA carboxylase 2	ENSG00000076555	32
HGNC:87	ACAD8	acyl-CoA dehydrogenase family member 8	Approved			AF126245	NM_014384	isobutyryl-CoA dehydrogenase	ENSG00000151498	27034
HGNC:21497	ACAD9	acyl-CoA dehydrogenase family member 9	Approved		"NPD002, MGC14452"	AF078854	NM_014049		ENSG00000177646	28976
HGNC:21597	ACAD10	acyl-CoA dehydrogenase family member 10	Approved		MGC5601	AY323912	NM_025247		ENSG00000111271	80724
HGNC:30211	ACAD11	acyl-CoA dehydrogenase family member 11	Approved		FLJ12592	BC019607	NM_032169		ENSG00000240303	84129
HGNC:88	ACADL	acyl-CoA dehydrogenase long chain	Approved		"LCAD, ACAD4"	M74096	NM_001608		ENSG00000115361	33
HGNC:89	ACADM	acyl-CoA dehydrogenase medium chain	Approved		"MCAD, MCADH, ACAD1"	M16827		medium-chain acyl-CoA dehydrogenase	ENSG00000117054	34
HGNC:90	ACADS	acyl-CoA dehydrogenase short chain	Approved		"SCAD, ACAD3"	M26393	NM_000017		ENSG00000122971	35
HGNC:91	ACADSB	acyl-CoA dehydrogenase short/branched chain	Approved		"SBCAD, ACAD7"	U12778	NM_001609		ENSG00000196177	36
HGNC:92	ACADVL	acyl-CoA dehydrogenase very long chain	Approved		"VLCAD, LCACD, ACAD6"	BC012912	NM_000018		ENSG00000072778	37
HGNC:319	ACAN	aggrecan	Approved	"MSK16, CSPG1, AGC1"	CSPGCP	M55172	NM_001135	aggrecan proteoglycan	ENSG00000157766	176
HGNC:16467	ACAP1	"ArfGAP with coiled-coil, ankyrin repeat and PH domains 1"	Approved	CENTB1	KIAA0050	D30758	NM_014716		ENSG00000072818	9744
