entry,entry_id
RNF215,RNF215
PRRT3,PRRT3
SHANK2,SHANK2
ENSG00000278139,ENSG00000278139
ENSG00000273398,ENSG00000273398
ADAMTS9,ADAMTS9
FCER1A,FCER1A
OR5H14,OR5H14
ROBO3,ROBO3
PPIL6,PPIL6
UBQLNL,UBQLNL
PDF,PDF
TGFB2,TGFB2
CHML,CHML
VSTM1,VSTM1
WDR82,WDR82
ACAT1,ACAT1
FAR2,FAR2
NEU2,NEU2
SPINK9,SPINK9
HSPA12A,HSPA12A
PTN,PTN
NSD3,NSD3
RARA,RARA
CASQ1,CASQ1
FHL5,FHL5
DIEXF,DIEXF
ZNF592,ZNF592
CLNS1A,CLNS1A
BPIFB6,BPIFB6
LCTL,LCTL
TPCN2,TPCN2
SRI,SRI
IQSEC2,IQSEC2
PEX11A,PEX11A
ATP6V1H,ATP6V1H
IQCD,IQCD
PXDNL,PXDNL
UBE2E2,UBE2E2
CSNK2A3,CSNK2A3
FIBCD1,FIBCD1
ENSG00000243440,ENSG00000243440
LRRC9,LRRC9
ENSG00000259522,ENSG00000259522
HBQ1,HBQ1
NAIF1,NAIF1
U2AF1L4,U2AF1L4
DNA2,DNA2
IGHV1OR15-9,IGHV1OR15-9
UTP11,UTP11
STH,STH
GLIS2,GLIS2
TNFRSF10A,TNFRSF10A
WFDC12,WFDC12
SPRED3,SPRED3
ZNF527,ZNF527
MZF1,MZF1
GPX4,GPX4
GAGE2A,GAGE2A
SCN8A,SCN8A
LMBR1L,LMBR1L
SCTR,SCTR
PURA,PURA
CRYBB3,CRYBB3
EVA1A,EVA1A
FAM133A,FAM133A
ZNF84,ZNF84
METAP1D,METAP1D
SLC23A3,SLC23A3
ARL15,ARL15
RECQL,RECQL
TRIM14,TRIM14
ENSG00000268133,ENSG00000268133
GNS,GNS
HIST1H1C,HIST1H1C
RAET1E,RAET1E
GDF6,GDF6
B4GALT3,B4GALT3
C1GALT1,C1GALT1
RPUSD1,RPUSD1
P2RY10,P2RY10
KRTAP9-6,KRTAP9-6
CTNNA1,CTNNA1
TUBGCP2,TUBGCP2
MID2,MID2
RPS27,RPS27
RFT1,RFT1
CLPB,CLPB
NAB2,NAB2
DCT,DCT
GNG12,GNG12
KRTAP15-1,KRTAP15-1
TAF2,TAF2
SSSCA1,SSSCA1
P4HTM,P4HTM
FAM114A1,FAM114A1
PCNX4,PCNX4
ZSWIM9,ZSWIM9
TGIF2LY,TGIF2LY
TMEM243,TMEM243
CNR2,CNR2
ITGB2,ITGB2
ABCC6,ABCC6
PCNP,PCNP
TMEM97,TMEM97
CA12,CA12
PRR27,PRR27
PF4,PF4
SELE,SELE
TRAV20,TRAV20
CDH1,CDH1
TNFAIP3,TNFAIP3
TRBV6-1,TRBV6-1
THRB,THRB
KCNQ1,KCNQ1
CELF1,CELF1
MAPK4,MAPK4
HHAT,HHAT
MCEMP1,MCEMP1
UPK3A,UPK3A
ENPP6,ENPP6
RPUSD3,RPUSD3
PLA2G6,PLA2G6
XPO7,XPO7
THSD7A,THSD7A
THNSL1,THNSL1
CISD1,CISD1
EMP3,EMP3
NR2C2AP,NR2C2AP
C5AR2,C5AR2
KDM3B,KDM3B
DSC2,DSC2
KDR,KDR
SCIN,SCIN
CDH24,CDH24
ITGB1BP2,ITGB1BP2
GPR20,GPR20
DNAJC28,DNAJC28
GRIPAP1,GRIPAP1
ATP2B2,ATP2B2
ERVV-2,ERVV-2
AFAP1,AFAP1
ENSG00000269590,ENSG00000269590
KRTAP5-2,KRTAP5-2
ATP12A,ATP12A
CCDC85C,CCDC85C
ZNF664,ZNF664
MAPRE1,MAPRE1
RABL3,RABL3
HYDIN,HYDIN
EFEMP1,EFEMP1
DPPA4,DPPA4
SETX,SETX
SPINK4,SPINK4
PPT2,PPT2
SMARCA4,SMARCA4
SPATA2,SPATA2
COQ8A,COQ8A
KRT6B,KRT6B
OR2T27,OR2T27
TACC3,TACC3
PALM,PALM
CDH8,CDH8
FMO4,FMO4
C16orf58,C16orf58
TUBA4A,TUBA4A
MYOM2,MYOM2
HRASLS5,HRASLS5
ZNF248,ZNF248
NPR3,NPR3
NUCB1,NUCB1
DPP3,DPP3
DNAJB5,DNAJB5
SCN2B,SCN2B
UGT1A4,UGT1A4
ANKRD11,ANKRD11
CHST1,CHST1
ZNF841,ZNF841
VILL,VILL
MRPS17,MRPS17
LSM1,LSM1
TSC1,TSC1
OR51E2,OR51E2
EPCAM,EPCAM
ITGB8,ITGB8
TRAJ61,TRAJ61
SPATA17,SPATA17
PSMD4,PSMD4
LY75,LY75
TNRC18,TNRC18
MAGIX,MAGIX
PDLIM5,PDLIM5
BAIAP3,BAIAP3
SLC5A9,SLC5A9
ACADSB,ACADSB
CWC25,CWC25
FRMD3,FRMD3
ERCC5,ERCC5
IGHV3-20,IGHV3-20
HPCAL4,HPCAL4
MIGA2,MIGA2
ORAOV1,ORAOV1
RUFY1,RUFY1
PRDM14,PRDM14
KARS,KARS
IGSF22,IGSF22
CXorf57,CXorf57
KCNQ2,KCNQ2
CCDC28B,CCDC28B
GOLGA8T,GOLGA8T
PIP,PIP
OLFM3,OLFM3
GPATCH2L,GPATCH2L
RBMY1A1,RBMY1A1
YIPF1,YIPF1
HSPB8,HSPB8
MAZ,MAZ
CMTM6,CMTM6
RSRC2,RSRC2
BRIX1,BRIX1
FAM117A,FAM117A
CTPS1,CTPS1
RPL13,RPL13
SLC10A2,SLC10A2
CSF3R,CSF3R
LMOD3,LMOD3
RBL2,RBL2
FOXD2,FOXD2
DLD,DLD
TMEM135,TMEM135
CALCA,CALCA
ZNF66,ZNF66
TRIM51,TRIM51
GPAA1,GPAA1
SAP130,SAP130
PPL,PPL
MUM1L1,MUM1L1
ELK1,ELK1
SRCAP,SRCAP
WTIP,WTIP
TMC4,TMC4
ALOX12,ALOX12
ROPN1B,ROPN1B
DSPP,DSPP
SPACA3,SPACA3
AARD,AARD
MAGEA1,MAGEA1
OR4F15,OR4F15
ABCD4,ABCD4
TUBA1C,TUBA1C
CDCA5,CDCA5
FUT7,FUT7
PLEKHA3,PLEKHA3
ASZ1,ASZ1
ENTPD5,ENTPD5
HSPA4,HSPA4
MBOAT1,MBOAT1
RNASE4,RNASE4
GDF15,GDF15
RUBCNL,RUBCNL
SIRT5,SIRT5
IER3IP1,IER3IP1
IPO11,IPO11
TOMM40L,TOMM40L
DHRS7B,DHRS7B
COX4I1,COX4I1
KIF1A,KIF1A
TRAJ5,TRAJ5
MMP3,MMP3
C19orf25,C19orf25
DLK2,DLK2
ENSG00000255639,ENSG00000255639
KIF26B,KIF26B
VWC2L,VWC2L
ZSCAN31,ZSCAN31
C2,C2
NKAIN3,NKAIN3
CRTAC1,CRTAC1
RAD21L1,RAD21L1
RGS3,RGS3
FAM163A,FAM163A
C11orf65,C11orf65
TRAJ59,TRAJ59
ENSG00000261732,ENSG00000261732
EMB,EMB
OR51J1,OR51J1
RAP1GAP,RAP1GAP
CENPS,CENPS
PPM1L,PPM1L
OR51D1,OR51D1
UPK2,UPK2
IGHG4,IGHG4
IQCF2,IQCF2
C10orf71,C10orf71
VPS45,VPS45
IL18,IL18
SERTAD3,SERTAD3
TCP11,TCP11
ACTL7A,ACTL7A
NKX2-3,NKX2-3
CARD18,CARD18
GAP43,GAP43
NECTIN2,NECTIN2
LRRN1,LRRN1
UBQLN1,UBQLN1
IGHV3-38,IGHV3-38
RPS6KB1,RPS6KB1
FBXW5,FBXW5
