entry,entry_id
CBY2,HGNC:30720
ERBB4,HGNC:3432
RERE,HGNC:9965
SLC52A2,HGNC:30224
ATP8A2,HGNC:13533
WNT7A,HGNC:12786
LMBRD1,HGNC:23038
FLVCR2,HGNC:20105
SLC6A1,HGNC:11042
SMOC1,HGNC:20318
BRCA1,HGNC:1100
MNS1,HGNC:29636
SH3KBP1,HGNC:13867
ARSD,HGNC:717
PLAGL1,HGNC:9046
MED13,HGNC:22474
HFM1,HGNC:20193
LRPAP1,HGNC:6701
DAZ1,HGNC:2682
FOXRED1,HGNC:26927
TNFSF12,HGNC:11927
MYO3A,HGNC:7601
MT-TD,HGNC:7478
POGZ,HGNC:18801
ERF,HGNC:3444
TCTN1,HGNC:26113
NRG3,HGNC:7999
SLC25A15,HGNC:10985
DIS3L2,HGNC:28648
MT-TL2,HGNC:7491
PTPN11,HGNC:9644
SCARF2,HGNC:19869
DMRT1,HGNC:2934
ZIC2,HGNC:12873
GDI1,HGNC:4226
MSRB3,HGNC:27375
ACTL6B,HGNC:160
MSH3,HGNC:7326
ZNF592,HGNC:28986
PITX3,HGNC:9006
CYP4F2,HGNC:2645
LRBA,HGNC:1742
EMX2,HGNC:3341
FANCI,HGNC:25568
TPP1,HGNC:2073
SPTLC2,HGNC:11278
GRIP1,HGNC:18708
UVSSA,HGNC:29304
CLCNKA,HGNC:2026
PDGFRA,HGNC:8803
PORCN,HGNC:17652
ASXL2,HGNC:23805
LOX,HGNC:6664
CRIPT,HGNC:14312
ETHE1,HGNC:23287
KCNT1,HGNC:18865
OFD1,HGNC:2567
GRK5,HGNC:4544
CFAP418,HGNC:27232
CATSPER2,HGNC:18810
LIPT1,HGNC:29569
SYNE4,HGNC:26703
ALG8,HGNC:23161
RMND1,HGNC:21176
KISS1,HGNC:6341
AMN,HGNC:14604
LAMA3,HGNC:6483
SLC4A3,HGNC:11029
TBC1D24,HGNC:29203
MYL2,HGNC:7583
CNGA3,HGNC:2150
NDUFB3,HGNC:7698
SGCB,HGNC:10806
TBC1D5,HGNC:19166
TWIST2,HGNC:20670
PHEX,HGNC:8918
ANKRD26,HGNC:29186
NKX3-2,HGNC:951
LRAT,HGNC:6685
MT-TN,HGNC:7493
APOB,HGNC:603
FBN1,HGNC:3603
CYP4F22,HGNC:26820
CPT1B,HGNC:2329
MTMR2,HGNC:7450
RBM8A,HGNC:9905
ACYP2,HGNC:180
COX10,HGNC:2260
MTPAP,HGNC:25532
ORC4,HGNC:8490
MFSD8,HGNC:28486
SMARCA2,HGNC:11098
